Contributor,Arms,Times,Volume,Study,ID,Tumor,Disease_Type
Source_1,Control,1,159.3,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,4,214,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,8,197.7,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,11,250.3,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,15,209,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,18,261.8,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,22,313.7,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,25,432.9,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,29,290.7,S_101,K16669_010-1068,K16669_10,Invasive breast carcinoma
Source_1,Control,1,222.6,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,4,328.3,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,8,345.3,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,11,364.4,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,15,416.9,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,18,475.2,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,22,429,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,25,554,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,29,724.7,S_101,K16669_010-1081,K16669_10,Invasive breast carcinoma
Source_1,Control,1,176.7,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,4,273.5,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,8,236.1,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,11,299.4,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,15,341.9,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,18,353.8,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,22,535.7,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,25,737.4,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,29,564.4,S_101,K16669_010-1105,K16669_10,Invasive breast carcinoma
Source_1,Control,1,153.3,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,4,226.7,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,8,237.3,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,11,311,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,15,354,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,18,295.6,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,22,562.6,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,25,569.1,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,29,606.5,S_101,K16669_010-1111,K16669_10,Invasive breast carcinoma
Source_1,Control,1,98.9,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,4,121.4,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,8,76.8,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,11,118.3,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,15,125.6,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,18,135.4,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,22,127,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,25,174.3,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,29,154.7,S_101,K16669_010-1112,K16669_10,Invasive breast carcinoma
Source_1,Control,1,233.6,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,4,387.8,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,8,393.5,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,11,427.8,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,15,578.2,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,18,517,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,22,502.8,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,25,572.9,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Control,29,721.8,S_101,K16669_010-1118,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,1,120.2,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,4,150.3,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,8,106.7,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,11,109.5,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,15,119.7,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,18,119.5,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,22,130.4,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,25,122.4,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,29,110.5,S_101,K16669_010-1063,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,1,128.3,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,4,149.9,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,8,149,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,11,141.2,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,15,144.1,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,18,180.5,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
Source_1,Carboplatin,22,182.9,S_101,K16669_010-1082,K16669_10,Invasive breast carcinoma
